,rl,random,none
accuracy,0.8881,0.8763,0.8504
precision,0.887598922462552,0.8762762357918463,0.8496415037034941
recall,0.8881,0.8763,0.8503999999999999
f1,0.8876994103295479,0.8760370377979319,0.8497205014431612
