,actor,critic,policy,reward
73,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.7}",
74,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.8}",
75,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.0}",
76,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}",
77,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.7}",
78,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.8}",
79,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.4}",
80,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.6}",
81,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.8}",
82,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.7}",
83,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.6}",
84,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.4}",
85,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.2}",
86,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.8}",
87,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.0}",
88,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.5}",
89,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.4}",
90,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.7}",
91,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.8}",
92,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.3}",
93,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.1}",
94,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.0}",
95,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.2}",
96,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.6}",
97,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.9}",
98,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.6}",
99,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.9}",
100,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.3}",
101,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}",
102,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.7}",
103,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.3}",
104,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.3}",
105,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.0}",
106,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.0}",
107,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.1}",
108,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.8}",
109,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.8}",
110,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.0}",
111,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.3}",
112,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.0}",
113,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.4}",
114,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.3}",
115,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.2}",
116,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.6}",
117,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.7}",
118,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.4}",
119,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.3}",
120,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.8}",
121,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.4}",
122,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.6}",
123,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.9}",
