,rl,random,none
accuracy,0.8734,0.8752,0.8419
precision,0.8735092862228626,0.874853772886649,0.8418148736073399
recall,0.8734,0.8751999999999999,0.8419000000000001
f1,0.873276236890046,0.8748822054149693,0.8412910022022674
