,actor,critic,policy,reward
0,-1.5525801181793213,1.1950823068618774,"{'operation': 0, 'magnitude': 0, 'probability': 0.9}",1.555379867553711
1,-1.2704392671585083,0.7464064359664917,"{'operation': 5, 'magnitude': 1, 'probability': 0.2}",1.5816833972930908
2,-1.0958809852600098,0.5195266008377075,"{'operation': 0, 'magnitude': 4, 'probability': 0.7}",1.698056936264038
3,-0.7508249878883362,0.17412415146827698,"{'operation': 4, 'magnitude': 3, 'probability': 0.7}",1.6711392402648926
4,-0.4458566904067993,0.02995551936328411,"{'operation': 4, 'magnitude': 3, 'probability': 0.1}",1.6942659616470337
5,-0.15997181832790375,0.0021641652565449476,"{'operation': 5, 'magnitude': 0, 'probability': 0.0}",1.718541145324707
6,0.09629030525684357,0.057933107018470764,"{'operation': 0, 'magnitude': 1, 'probability': 0.9}",1.6962313652038574
7,0.17935438454151154,0.05063241347670555,"{'operation': 4, 'magnitude': 2, 'probability': 0.0}",1.7335104942321777
8,0.19627581536769867,0.032191019505262375,"{'operation': 5, 'magnitude': 2, 'probability': 0.6}",1.6960301399230957
9,0.0911829024553299,0.0008023034315556288,"{'operation': 2, 'magnitude': 4, 'probability': 0.9}",1.7302818298339844
10,-0.055288124829530716,0.011014542542397976,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}",1.778867244720459
11,-0.14100809395313263,0.014610275626182556,"{'operation': 4, 'magnitude': 0, 'probability': 0.9}",1.7823474407196045
12,-0.12488551437854767,0.005315009038895369,"{'operation': 5, 'magnitude': 4, 'probability': 0.1}",1.769697666168213
13,-0.08867654949426651,0.0019659840036183596,"{'operation': 3, 'magnitude': 4, 'probability': 0.8}",1.781118392944336
14,-0.050759270787239075,6.787966412957758e-05,"{'operation': 3, 'magnitude': 1, 'probability': 0.5}",1.7898845672607422
15,0.006530380342155695,0.0010593923507258296,"{'operation': 4, 'magnitude': 2, 'probability': 0.0}",1.7816319465637207
16,0.0338924415409565,0.0020645190961658955,"{'operation': 4, 'magnitude': 0, 'probability': 0.4}",1.7769732475280762
17,0.032593727111816406,0.0007006832747720182,"{'operation': 4, 'magnitude': 4, 'probability': 0.0}",1.7736589908599854
18,0.0047278315760195255,0.00010451036359881982,"{'operation': 4, 'magnitude': 3, 'probability': 0.5}",1.7881393432617188
19,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}",
20,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.1}",
21,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.9}",
22,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.0}",
23,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.7}",
24,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.7}",
25,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.6}",
26,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.8}",
27,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.3}",
28,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.9}",
29,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.2}",
30,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.4}",
31,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.6}",
32,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.2}",
33,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.0}",
34,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.0}",
35,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.2}",
36,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.2}",
