,actor,critic,policy,reward
0,-0.6975404620170593,0.14791274070739746,"{'operation': 0, 'magnitude': 0, 'probability': 0.9}",0.8428950309753418
1,-0.4341830015182495,0.03171472251415253,"{'operation': 5, 'magnitude': 1, 'probability': 0.2}",0.8773708343505859
2,-0.26582959294319153,0.0030614857096225023,"{'operation': 0, 'magnitude': 4, 'probability': 0.7}",0.9817141890525818
3,-0.04563646391034126,0.008487531915307045,"{'operation': 4, 'magnitude': 3, 'probability': 0.7}",1.014184832572937
4,0.10605907440185547,0.028149422258138657,"{'operation': 4, 'magnitude': 3, 'probability': 0.1}",1.002516508102417
5,0.0949329361319542,0.004430983681231737,"{'operation': 5, 'magnitude': 0, 'probability': 0.0}",1.045485258102417
6,0.04431495815515518,4.110803274670616e-06,"{'operation': 0, 'magnitude': 1, 'probability': 0.9}",1.034457802772522
7,-0.042492058128118515,0.003270696150138974,"{'operation': 4, 'magnitude': 2, 'probability': 0.0}",1.0479695796966553
8,-0.03808651119470596,0.0007281028083525598,"{'operation': 5, 'magnitude': 2, 'probability': 0.6}",1.0287326574325562
9,-0.06871604919433594,0.001296327100135386,"{'operation': 2, 'magnitude': 4, 'probability': 0.9}",1.054122805595398
10,-0.09514761716127396,0.0011792863951995969,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}",1.1063002347946167
11,-0.021323777735233307,0.0008722279453650117,"{'operation': 4, 'magnitude': 0, 'probability': 0.9}",1.1071240901947021
12,0.0322665236890316,0.00254847202450037,"{'operation': 5, 'magnitude': 4, 'probability': 0.1}",1.1045429706573486
13,0.035614874213933945,0.0005197624559514225,"{'operation': 3, 'magnitude': 4, 'probability': 0.8}",1.1050952672958374
14,0.012180137448012829,0.00014010905579198152,"{'operation': 3, 'magnitude': 1, 'probability': 0.5}",1.1066919565200806
15,-0.03028593212366104,0.001040849951095879,"{'operation': 4, 'magnitude': 2, 'probability': 0.0}",1.106973648071289
16,-0.026684047654271126,4.049641120218439e-06,"{'operation': 4, 'magnitude': 0, 'probability': 0.4}",1.1006667613983154
17,0.018570423126220703,0.0007103851530700922,"{'operation': 4, 'magnitude': 4, 'probability': 0.0}",1.0819571018218994
18,-0.005798493046313524,0.00012210482964292169,"{'operation': 4, 'magnitude': 3, 'probability': 0.5}",1.1072108745574951
19,-0.01240839995443821,4.3250853195786476e-05,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}",1.1033920049667358
20,0.007586765568703413,7.416101288981736e-05,"{'operation': 5, 'magnitude': 0, 'probability': 0.1}",1.1044111251831055
21,0.002401425503194332,3.540644684107974e-05,"{'operation': 4, 'magnitude': 2, 'probability': 0.9}",1.1056241989135742
22,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.0}",
23,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.7}",
24,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.7}",
25,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.6}",
26,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.8}",
27,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.3}",
28,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.9}",
29,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.2}",
30,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.4}",
31,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.6}",
32,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.2}",
33,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.0}",
34,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.0}",
35,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.2}",
36,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.2}",
37,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.0}",
38,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.8}",
39,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.0}",
40,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.5}",
41,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.7}",
