,actor,critic,policy
45,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.6}"
46,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.2}"
47,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.4}"
48,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.9}"
49,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}"
50,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.7}"
51,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.1}"
52,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.9}"
53,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.3}"
54,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.1}"
55,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.4}"
56,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.7}"
57,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.7}"
58,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.2}"
59,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.2}"
60,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.9}"
61,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.8}"
62,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.3}"
63,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.9}"
64,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.3}"
65,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.8}"
66,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.9}"
67,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.7}"
68,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.8}"
69,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.8}"
70,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.2}"
71,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.5}"
72,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.7}"
73,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.0}"
74,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.9}"
75,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.3}"
76,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.9}"
77,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.0}"
78,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.2}"
79,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.1}"
80,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.7}"
81,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.7}"
82,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.5}"
83,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.4}"
84,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.9}"
85,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.7}"
86,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.4}"
87,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.2}"
88,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.1}"
89,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.4}"
90,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.6}"
91,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.9}"
92,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.6}"
93,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.6}"
94,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.5}"
95,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.4}"
96,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.0}"
97,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.4}"
98,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.0}"
99,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.8}"
100,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.6}"
101,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.3}"
102,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.9}"
103,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.6}"
104,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.3}"
105,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.4}"
106,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.1}"
107,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.5}"
108,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.8}"
109,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.5}"
110,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.2}"
111,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.6}"
112,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.4}"
113,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.1}"
114,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.7}"
115,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.3}"
116,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.7}"
117,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.7}"
118,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.6}"
119,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.0}"
120,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.9}"
121,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.3}"
122,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.1}"
123,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.1}"
124,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.4}"
125,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.2}"
126,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.0}"
127,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.9}"
128,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.3}"
129,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.7}"
130,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.3}"
131,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.5}"
132,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.9}"
133,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.5}"
134,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.5}"
135,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.8}"
136,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.3}"
137,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.4}"
138,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.9}"
139,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.5}"
140,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.7}"
141,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}"
142,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.7}"
143,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.8}"
144,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.8}"
145,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.4}"
146,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.3}"
147,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.6}"
148,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.1}"
149,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.5}"
150,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.9}"
151,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.2}"
152,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.3}"
153,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.1}"
154,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.4}"
155,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.3}"
