,actor,critic,policy
0,-0.7149626016616821,0.1398392915725708,"{'operation': 0, 'magnitude': 0, 'probability': 0.9}"
1,-0.3902294635772705,0.005388298071920872,"{'operation': 5, 'magnitude': 1, 'probability': 0.2}"
2,-0.06320150196552277,0.0139992106705904,"{'operation': 0, 'magnitude': 4, 'probability': 0.7}"
3,0.08943372219800949,0.023536499589681625,"{'operation': 4, 'magnitude': 3, 'probability': 0.7}"
4,0.1386125087738037,0.01448959019035101,"{'operation': 4, 'magnitude': 3, 'probability': 0.1}"
5,0.03757805749773979,0.001392752630636096,"{'operation': 5, 'magnitude': 0, 'probability': 0.0}"
6,-0.01688261143863201,0.0030254533048719168,"{'operation': 0, 'magnitude': 1, 'probability': 0.9}"
7,-0.1193784773349762,0.006313763093203306,"{'operation': 4, 'magnitude': 2, 'probability': 0.0}"
8,-0.0673338919878006,0.0002202541072620079,"{'operation': 5, 'magnitude': 2, 'probability': 0.6}"
9,-0.002435052767395973,0.0008029789314605296,"{'operation': 2, 'magnitude': 4, 'probability': 0.9}"
10,-0.007095301989465952,7.421954069286585e-05,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}"
11,-0.0015942152822390199,5.803316889796406e-05,"{'operation': 4, 'magnitude': 0, 'probability': 0.9}"
12,0.006268687080591917,7.665156590519473e-05,"{'operation': 5, 'magnitude': 4, 'probability': 0.9}"
13,0.00552989961579442,3.6140829706710065e-07,"{'operation': 3, 'magnitude': 4, 'probability': 0.2}"
14,0.00448186881840229,2.016347207245417e-05,"{'operation': 3, 'magnitude': 1, 'probability': 0.5}"
15,-0.013292170129716396,0.00011073397763539106,"{'operation': 4, 'magnitude': 2, 'probability': 0.0}"
16,-0.007575416937470436,3.0925875762477517e-06,"{'operation': 4, 'magnitude': 0, 'probability': 0.4}"
17,0.01444234885275364,0.0003775635559577495,"{'operation': 4, 'magnitude': 4, 'probability': 0.0}"
18,-0.0037777083925902843,0.00016781839076429605,"{'operation': 5, 'magnitude': 0, 'probability': 0.5}"
19,-0.006721329875290394,7.3870469350367785e-06,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}"
20,0.0020482982508838177,1.859727308328729e-05,"{'operation': 5, 'magnitude': 0, 'probability': 0.1}"
21,-0.0013950816355645657,9.3215949164005e-06,"{'operation': 4, 'magnitude': 0, 'probability': 0.5}"
22,0.0033530814107507467,4.860773515247274e-06,"{'operation': 2, 'magnitude': 3, 'probability': 0.0}"
23,0.007671165745705366,6.339325864246348e-07,"{'operation': 3, 'magnitude': 2, 'probability': 0.7}"
24,-0.014895415864884853,3.9132864912971854e-05,"{'operation': 3, 'magnitude': 2, 'probability': 0.7}"
25,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.6}"
26,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.8}"
27,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.5}"
28,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.9}"
29,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.2}"
30,,,"{'operation': 5, 'magnitude': 0, 'probability': 0.4}"
31,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.6}"
32,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.6}"
33,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.0}"
34,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.0}"
35,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.2}"
36,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.2}"
37,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.0}"
38,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.8}"
39,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.0}"
40,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.5}"
41,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.7}"
42,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.5}"
43,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.4}"
44,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.5}"
