,actor,critic,policy,reward
0,-1.8715062141418457,1.8909940719604492,"{'operation': 5, 'magnitude': 2, 'probability': 0.5}",1.5770556926727295
1,-1.6379125118255615,1.3092197179794312,"{'operation': 4, 'magnitude': 3, 'probability': 0.7}",1.666546106338501
2,-1.3215371370315552,0.7832648754119873,"{'operation': 1, 'magnitude': 1, 'probability': 0.3}",1.6628687381744385
3,-0.9622988104820251,0.3226698637008667,"{'operation': 5, 'magnitude': 0, 'probability': 0.5}",1.6788146495819092
4,-0.5914833545684814,0.07205881923437119,"{'operation': 3, 'magnitude': 2, 'probability': 0.9}",1.6707563400268555
5,-0.21401996910572052,0.0008078844984993339,"{'operation': 2, 'magnitude': 0, 'probability': 0.4}",1.7000150680541992
6,0.021366819739341736,0.027297616004943848,"{'operation': 4, 'magnitude': 4, 'probability': 0.8}",1.7141484022140503
7,0.15561313927173615,0.06153860688209534,"{'operation': 4, 'magnitude': 4, 'probability': 0.6}",1.7196687459945679
8,0.24638080596923828,0.07079014182090759,"{'operation': 0, 'magnitude': 1, 'probability': 0.7}",1.7026376724243164
9,0.15596294403076172,0.014686629176139832,"{'operation': 0, 'magnitude': 2, 'probability': 0.3}",1.7164267301559448
10,0.07004966586828232,0.00018856662791222334,"{'operation': 3, 'magnitude': 4, 'probability': 0.7}",1.7759627103805542
11,0.025676624849438667,0.0006722498801536858,"{'operation': 3, 'magnitude': 1, 'probability': 0.4}",1.7601089477539062
12,-0.095114566385746,0.009514730423688889,"{'operation': 0, 'magnitude': 3, 'probability': 0.5}",1.7712066173553467
13,-0.10939035564661026,0.007088238839060068,"{'operation': 3, 'magnitude': 4, 'probability': 0.6}",1.7753326892852783
14,-0.1890406757593155,0.016482297331094742,"{'operation': 0, 'magnitude': 2, 'probability': 0.6}",1.772339105606079
15,-0.09047484397888184,0.0009568297537043691,"{'operation': 5, 'magnitude': 4, 'probability': 0.0}",1.7713677883148193
16,-0.03005533292889595,0.0001348620280623436,"{'operation': 0, 'magnitude': 2, 'probability': 0.2}",1.7665534019470215
17,0.028117848560214043,0.0025121693033725023,"{'operation': 2, 'magnitude': 3, 'probability': 0.8}",1.7848176956176758
18,0.06735534965991974,0.004977886099368334,"{'operation': 1, 'magnitude': 2, 'probability': 0.8}",1.7856911420822144
19,0.034433841705322266,0.00010693728108890355,"{'operation': 0, 'magnitude': 3, 'probability': 0.6}",1.7774028778076172
20,-0.007120810449123383,0.0009161778725683689,"{'operation': 2, 'magnitude': 4, 'probability': 0.4}",1.7849931716918945
21,-0.027249667793512344,0.0005355954053811729,"{'operation': 3, 'magnitude': 4, 'probability': 0.6}",1.7905049324035645
22,-0.037926722317934036,0.00021441958961077034,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}",1.7824372053146362
23,0.019385719671845436,0.0009883998427540064,"{'operation': 1, 'magnitude': 1, 'probability': 0.0}",1.7823846340179443
24,-0.04405803978443146,0.0005197842256166041,"{'operation': 2, 'magnitude': 3, 'probability': 0.6}",1.78245210647583
25,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.8}",
26,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.6}",
27,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.0}",
28,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.7}",
29,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.4}",
30,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.7}",
31,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.0}",
32,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.7}",
33,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.5}",
34,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.1}",
35,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}",
36,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.7}",
37,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.5}",
38,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.0}",
39,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.2}",
40,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.5}",
