,actor,critic,policy
0,-0.633236289024353,0.09789609909057617,"{'operation': 5, 'magnitude': 2, 'probability': 0.5}"
1,-0.5482181906700134,0.05066610872745514,"{'operation': 4, 'magnitude': 3, 'probability': 0.7}"
2,-0.16792631149291992,0.0010958552593365312,"{'operation': 1, 'magnitude': 1, 'probability': 0.3}"
3,0.053507138043642044,0.022020617499947548,"{'operation': 5, 'magnitude': 0, 'probability': 0.8}"
4,0.09790811687707901,0.00822295993566513,"{'operation': 3, 'magnitude': 2, 'probability': 0.9}"
5,0.0451512336730957,3.334207212901674e-05,"{'operation': 2, 'magnitude': 0, 'probability': 0.4}"
6,-0.025340232998132706,0.002922849031165242,"{'operation': 4, 'magnitude': 4, 'probability': 0.8}"
7,-0.0488540418446064,0.001004630234092474,"{'operation': 4, 'magnitude': 4, 'probability': 0.6}"
8,-0.05759561434388161,0.0002872624609153718,"{'operation': 0, 'magnitude': 1, 'probability': 0.7}"
9,0.020041419193148613,0.0016410455573350191,"{'operation': 0, 'magnitude': 2, 'probability': 0.7}"
10,-0.0626058354973793,0.0013593795010820031,"{'operation': 3, 'magnitude': 4, 'probability': 0.7}"
11,-0.002865502377972007,0.00032073407783173025,"{'operation': 3, 'magnitude': 1, 'probability': 0.4}"
12,0.010756383650004864,0.000184632430318743,"{'operation': 0, 'magnitude': 3, 'probability': 0.5}"
13,-0.0026174902450293303,5.21253896295093e-05,"{'operation': 3, 'magnitude': 0, 'probability': 0.6}"
14,-0.002713848138228059,5.080289156467188e-06,"{'operation': 0, 'magnitude': 2, 'probability': 0.6}"
15,0.006138996686786413,2.4949313228717074e-05,"{'operation': 4, 'magnitude': 4, 'probability': 0.0}"
16,-0.001551566761918366,1.7810989447752945e-05,"{'operation': 0, 'magnitude': 3, 'probability': 0.2}"
17,-0.013972164131700993,7.460619963239878e-05,"{'operation': 2, 'magnitude': 3, 'probability': 0.8}"
18,0.013319683261215687,0.00038623661384917796,"{'operation': 1, 'magnitude': 2, 'probability': 0.8}"
19,0.016593456268310547,0.00013602324179373682,"{'operation': 0, 'magnitude': 3, 'probability': 0.6}"
20,-0.024899054318666458,0.0006439757416956127,"{'operation': 2, 'magnitude': 4, 'probability': 0.4}"
21,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.6}"
22,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}"
23,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.0}"
24,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.6}"
25,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.8}"
26,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.5}"
27,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.0}"
28,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.7}"
29,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.4}"
30,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.7}"
31,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.0}"
32,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.7}"
33,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.8}"
34,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.1}"
