,rl,random,none
accuracy,0.8785,0.8743,0.8413
precision,0.8782836180872995,0.8738465229213863,0.840335477749471
recall,0.8784999999999998,0.8743000000000001,0.8413
f1,0.8780764205122571,0.8739362428590873,0.8404297268868108
